method,seed,class,bin,prob_true,prob_pred
chi2,3407,Bot,4,1.0,0.6319379853797987
chi2,3407,Bot,5,1.0,0.7699216471066986
chi2,3407,Bot,6,1.0,0.8548958943706559
chi2,3407,Bot,7,1.0,0.9857186418102764
chi2,3407,Brute Force,0,0.0160857908847185,0.011331651136948109
chi2,3407,Brute Force,1,0.05263157894736842,0.14310697486350818
chi2,3407,Brute Force,2,0.2222222222222222,0.25327242030463815
chi2,3407,Brute Force,3,0.14285714285714285,0.3648506989569719
chi2,3407,Brute Force,4,0.0,0.44401461243182694
chi2,3407,Brute Force,5,0.6666666666666666,0.5431583567000281
chi2,3407,Brute Force,6,0.5,0.6096738878959511
chi2,3407,Brute Force,7,0.0,0.7680826440163466
chi2,3407,Brute Force,8,1.0,0.8749507684253741
chi2,3407,Brute Force,9,1.0,0.998190237432255
chi2,3407,DoS/DDoS,0,0.0,0.003168260702927492
chi2,3407,DoS/DDoS,1,0.14285714285714285,0.13612942476762657
chi2,3407,DoS/DDoS,2,0.3333333333333333,0.26466038370467926
chi2,3407,DoS/DDoS,3,1.0,0.47661616752643937
chi2,3407,DoS/DDoS,4,0.0,0.5360570560030303
chi2,3407,DoS/DDoS,5,1.0,0.7380593669622808
chi2,3407,DoS/DDoS,6,1.0,0.8731947832925284
chi2,3407,DoS/DDoS,7,1.0,0.9903844958589141
chi2,3407,Normal,0,0.0,0.009439659582614857
chi2,3407,Normal,1,0.0,0.14247406466782303
chi2,3407,Normal,2,0.09090909090909091,0.2428307011409453
chi2,3407,Normal,3,0.25,0.3493560454069889
chi2,3407,Normal,4,0.6666666666666666,0.4346953208845468
chi2,3407,Normal,5,1.0,0.5710465735544351
chi2,3407,Normal,6,0.75,0.6418479021192358
chi2,3407,Normal,7,0.8888888888888888,0.7400772956415147
chi2,3407,Normal,8,1.0,0.855151512933571
chi2,3407,Normal,9,1.0,0.9827414337353281
chi2,3407,Web Attack,0,0.0,0.004860779858725087
chi2,3407,Web Attack,1,0.0,0.15424119467100494
chi2,3407,Web Attack,2,0.2857142857142857,0.23491400227618423
chi2,3407,Web Attack,3,0.75,0.3677897655035923
chi2,3407,Web Attack,4,0.75,0.41999016765303415
chi2,3407,Web Attack,5,0.6666666666666666,0.5548901466317028
chi2,3407,Web Attack,6,0.8,0.6494881795930306
chi2,3407,Web Attack,7,1.0,0.7514645594769559
chi2,3407,Web Attack,8,0.8823529411764706,0.8524150221699078
chi2,3407,Web Attack,9,0.9264705882352942,0.9541367976380246
mutual_info,3407,Bot,0,0.0,0.0013854472199621025
mutual_info,3407,Bot,1,0.0,0.16948396070873553
mutual_info,3407,Bot,2,0.0,0.22880477531324414
mutual_info,3407,Bot,3,0.0,0.3479582719235963
mutual_info,3407,Bot,4,1.0,0.5543451666413635
mutual_info,3407,Bot,5,1.0,0.6951711791407278
mutual_info,3407,Bot,6,1.0,0.7824345987357291
mutual_info,3407,Bot,7,1.0,0.8500214923702653
mutual_info,3407,Bot,8,1.0,0.9861810346185605
mutual_info,3407,Brute Force,0,0.01084010840108401,0.011393526517012259
mutual_info,3407,Brute Force,1,0.13636363636363635,0.1349899426210282
mutual_info,3407,Brute Force,2,0.2,0.2445225870915531
mutual_info,3407,Brute Force,3,0.14285714285714285,0.34045895764163453
mutual_info,3407,Brute Force,4,0.0,0.41510049904442425
mutual_info,3407,Brute Force,5,0.5,0.5581468204853778
mutual_info,3407,Brute Force,6,0.0,0.741659245932388
mutual_info,3407,Brute Force,7,1.0,0.8466203748638206
mutual_info,3407,Brute Force,8,1.0,0.9970725714383583
mutual_info,3407,DoS/DDoS,0,0.0,0.0040546207321013605
mutual_info,3407,DoS/DDoS,1,0.6666666666666666,0.13837971917043884
mutual_info,3407,DoS/DDoS,2,0.0,0.26156408596261
mutual_info,3407,DoS/DDoS,3,0.0,0.4254719850929795
mutual_info,3407,DoS/DDoS,4,0.5,0.5426831256875029
